ba7r,label,
لو تَلَقَّى لفْظَهُ المُستطابا,2,
ودَعا الهَيجاءَ فارْتَاحَت السُّمْ,2,
رُ اهْتِزَازاً والسُّيُوفُ انْتِدَابا,2,
تَطْرَبُ الخَيْلُ بِوَقْعٍ فَتَخْتَا,2,
لُ إلى الحَربِ وتَعْدوا طِرابا,2,
منْ عِتَاقٍ رَكِبَتْها كُماةٌ,2,
لم يخافوا لِلْمَنُونِ ارْتِكَابا,2,
كلُّ نَدْبٍ لوْ حَكَى غَرْبَهُ السَّيْ,2,
فُ لَمَا اسْتصحبَ سَيْفٌ قِرَابا,2,
قاطعَ الأهلِينَ في اللَّهِ جَهْرَا,2,
لَمْ يَخَفْ لَوْمَاً ولم يَخْشَ عابا,2,
لَمْ يُبالِ حينَ يَغْدُو مُصيباً,2,
فِي الوغَى أو حين يَغْدُو مُصابا,2,
مِنْ حُمَاةٍ نَصَروا الدِّينَ حتى,2,
أَصْبَحَ الإِسلامُ أَحْمَى جَنابا,2,
رَفَعُوا الإِسلامَ مِنْ فوقِ خَيْلٍ,2,
أَرْكَبَتْ كلَّ عُقابٍ عُقابا,2,
خَضَبُوا البيضَ مِنَ الهام حُمْراً,2,
ما تزالُ البِيضُ تَهْوَى الخِضابا,2,
لَمْ يُرِيدُوا بِذُكُورٍ جَلَوْهَا,2,
لِلْحُرُوبِ العُونِ إِلَّا الضِّرَابا,2,
أرْغَمَ الهادي أُنُوفَ الأَعادي,2,
بِرِضاهم وأَذَلَّ الرِّقابا,2,
فأَطاعته الملوكُ اضطِراراً,2,
وأَجابَتْهُ الحُصونُ اضطرابا,2,
وصناديدُ قُرَيْش سَقاها,2,
حَتْفَها سَقْيَ اللِّقاحِ السِّقايا,2,
حَلَبُوا شَطْرَيْهِ فِي الجودِ والبَأْ,2,
سِ فأَحْلَى وأَمَرَّ الحِلابا,2,
وجَدُوا أَخلافَ أخْلاقِهِ فِي ال,2,
خصبِ والجَدْبِ تَعَافُ الخِصابا,2,
دَرُّهَا أطيبُ دَرٍّ فإنْ أمْ,2,
كَنَكَ الحَلْبُ فَرَاعِ العِطابا,2,
جَيَّشَ الجَيْشَ وسَرَّى السَّرايَا,2,
ودَعا الخَيْلَ عِتَاقاً عِرابا,2,
وهوَ المَنْصُورُ بالرُّعْبِ لو شا,2,
ءَ لأَغْنَى الرُّعبُ عنها ونَابا,2,
لو تَرَى الأَحزَابَ طاروا فِراراً,2,
خِلْتَهُمْ بينَ يديهِ ذبابا,2,
أوَ لَمْ تَعْجَب له وهْوَ بَحْرٌ,2,
كيف يَسْتَسْقِي نَدَاهُ السَّحابا,2,
كانتِ الأرضُ مَواتاً فأحْيا,2,
بالْحَيا منها المواتَ انسكابا,2,
نَزَعَتْ عنها مِنَ المَحْلِ ثَوْباً,2,
وكَسَتْها مِنْ رِياضٍ ثِيابا,2,
سَيِّدٌ كيفَ تأَمَّلْتَ معنا,2,
هُ رَأتْ عَيْنَاكَ أمراً عُجابا,2,
مَنْ يَزُرْهُ مُثقَلاً بالخَطايا,2,
عادَ مَغْفُورَ الخطايا مُثابا,2,
ذِكْرُه في الناسِ ذِكْرٌ جَميلٌ,2,
قالَ لِلْكَوْنَيْنِ طيبا فطابا,2,
وسِعَ العَالَم عِلمَاً وجُودا,2,
فدعا كُلّا وأَرْضَى خِطابا,2,
فَتَحَلَّتْ منه قَوْمٌ عُقُوداً,2,
وتَحَلَّتْ منه قومٌ سِخابا,2,
ليتَني كنتُ فيمن رآهُ,2,
أَتَّقِي عنه الأذى والسِّبابا,2,
يومَ نالَتْهُ بإفْكٍ يَهودٌ,2,
مِثْلَمَا اسْتَنْبَحَ بَدْرٌ كِلابا,2,
فادْعُني حَسَّانَ مَدْحٍ وزِدْني,2,
إنّني أَحْسَنْتُ منه المنابا,2,
يا رسولَ اللَّهِ عُذْرَاً إذَا هِبْ,2,
تُ مَقَامَاً حَقُّه أنْ يُهابا,2,
إنني قُمْتُ خطيباً بِمَدْحِي,2,
كَ ومَنْ يَمْلِكُ منه الخطابا,2,
وتَرَامَيْتُ به في بِحَارٍ,2,
مُكْثرا أمواجَها والعُبابا,2,
بِقَوافٍ شُرِعَتْ للأعادِي,2,
وجَدُوها في نفوسٍ حِرَابا,2,
هِيَ أَمْضَى مِنْ ظُبَى البِيضِ حَدَّاً,2,
فِي أعادِيكَ وأنْكَى ذُبابا,2,
فارْضَهُ جُهْدَ مُحِبٍّ مُقلٍّ,2,
صَانَه حُبُّكَ مِنْ أَنْ يُعابا,2,
شابَ في الإسلامِ لكن له في,2,
كَ فؤادٌ حُبُّه لنْ يُشابا,2,
يَتَهَنّى بالأمانيّ إِن,2,
نَهُ قبلَ مماتٍ أَنابا,2,
كلما أَوْسَعَهُ الشَّيْبُ وَعْظا,2,
ضَيَّقَ الخوفُ عليه الرِّحابا,2,
ضَيَّعَ الحَزْمَ وفيه شباب,2,
وأتى مُعْتَذِراً حِينَ شابا,2,
وغدا مِنْ سُوءِ ما قد جَنَاه,2,
نادِماً يَقْرَعُ سِنَّاً وَنابا,2,
أفلا أرجو لذَنْبِي شَفِيعاً,2,
ما رَجَاهُ قَطُّ راجٍ فخابا,2,
هَل عاجِلٌ مِن مَتاعِ الحيِّ مَنظورُ,3,بحر البسيط
أَم بَيتُ دومَةَ بَعدَ الإِلفِ مَهجورُ,3,
أَم هَل كَبيرٌ بَكى لَم يَقضِ عَبرَتَهُ,3,
إِثرَ الأَحِبَّةِ يَومَ البَينِ مَعذورُ,3,
لَكِن بِفِرتاجَ فَالخَلصاءِ أَنتَ بِها,3,
فَحَنبَلٍ فَلِوى سَرّاءَ مَسرورُ,3,
وَبِالأُنَيعِمِ يَوماً قَد تَحِلُّ بِهِ,3,
لَدى خَزازَ وَمِنها مَنظَرٌ كيرُ,3,
قَد قُلتُ لِلرَكبِ لَولا أَنَّهُم عَجِلوا,3,
عوجوا عَلَيَّ فَحَيّوا الحَيَّ أَو سيروا,3,
قَلَّت لِحاجَةِ نَفسٍ لَيلَةٌ عَرَضَت,3,
ثُمَّ اِقصِدوا بَعدَها في السَيرِ أَو جوروا,3,
غُرٌّ غَرائِرُ أَبكارٌ نَشَأنَ مَعاً,3,
حُسنُ الخَلائِقِ عَمّا يُتَّقى نورُ,3,
لَبِسنَ رَيطاً وَديباجاً وَأَكسِيَةً,3,
شَتّى بِها اللَونُ إِلّا أَنَّها فورُ,3,
لَيسَ الحَديثُ بِنُهبى يَنتَهِبنَ وَلا,3,
سِرٌّ يُحَدِّثنَهُ في الحَيِّ مَنشورُ,3,
وَقَد تُلافي بِيَ الحاجاتِ ناجِيَةٌ,3,
وَجناءُ لاحِقَةُ الرِجلَينِ عَيسورُ,3,
تُساقِطُ المَشيَ أَفناناً إِذا غَضِبَت,3,
إِذا أَلَحَّت عَلى رُكبانِها الكورُ,3,
حَرفٌ أَخوها أَبوها مِن مُهَجَّنَةٍ,3,
وَعَمُّها خالُها وَجناءُ مِئشيرُ,3,
وَقَد ثَوَت نِصفَ حَولٍ أَشهُراً جُدُداً,3,
يَسفي عَلى رَحلِها بِالحيرَةِ المورُ,3,
وَقارَفَت وَهيَ لَم تَجرَب وَباعَ لَها,3,
مِنَ الفَصافِصِ بِالنُمِّيِّ سِفسيرُ,3,
أَبقى التَهَجُّرُ مِنها بَعدَ كِدنَتِها,3,
مِنَ المَحالَةِ ما يَشغى بِهِ الكورُ,3,
تُلقي الجِرانَ وَتَقلَولي إِذا بَرَكَت,3,
كَما تَيَسَّرَ لِلنَفرِ المَها النورُ,3,
كَأَنَّ هِرّاً جَنيباً تَحتَ غُرضَتِها,3,
وَاِصطَكَّ ديكٌ بِرِجلَيها وَخِنزيرُ,3,
كَأَنَّها ذو وُشومٍ بَينَ مَأفِقَةٍ,3,
وَالقُطقُطانَةِ وَالبُرعومِ مَذعورُ,3,
أَحَسَّ رَكزَ قَنيصٍ مِن بَني أَسَدٍ,3,
فَاِنصاعَ مُنثَوِياً وَالخَطوُ مَقصورُ,3,
يَسعى بِغُضفٍ كَأَمثالِ الحَصى زَمِعاً,3,
كَأَنَّ أَحناكَها السُفلى مَآشيرُ,3,
حَتّى أُشِبَّ لَهُنَّ الثَورُ مِن كَثَبٍ,3,
فَأَرسَلوهُنَّ لَم يَدروا بِما ثيروا,3,
وَلّى مُجِدّاً وَأَزمَعنَ اللَحاقَ بِهِ,3,
كَأَنَّهُنَّ بِجَنبَيهِ الزَنابيرُ,3,
حَتّى إِذا قُلتَ نالَتهُ أَوائِلُها,3,
وَلَو يَشاءُ لَنَجَّتهُ المَثابيرُ,3,
كَرَّ عَلَيها وَلَم يَفشَل يُهارِشُها,3,
كَأَنَّهُ بِتَواليهِنَّ مَسرورُ,3,
فَشَكَّها بِذَليقٍ حَدُّهُ سَلِبٌ,3,
كَأَنَّهُ حينَ يَعلوهُنَّ مَوتورُ,3,
ثُمَّ اِستَمَرَّ يُباري ظِلَّهُ جَذِلاً,3,
كَأَنَّهُ مَرزُبانٌ فازَ مَحبورُ,3,
يالَ تَميمٍ وَذو قارٍ لَهُ حَدَبٌ,3,
مِنَ الرَبيعِ وَفي شَعبانَ مَسجورُ,3,
قَد حَلَّأَت ناقَتي بُردٌ وَراكِبَها,3,
عَن ماءِ بَصوَةَ يَوماً وَهوَ مَجهورُ,3,
فَما تَناءى بِها المَعروفُ إِذ نَفَرَت,3,
حَتّى تَضَمَّنَها الأَفدانُ وَالدورُ,3,
قَومٌ لِئامٌ وَفي أَعناقِهِم عُنُفٌ,3,
وَسَعيُهُم دونَ سَعيِ الناسِ مَبهورُ,3,
وَيلُ اُمِّهِم مَعشَراً جُمّاً بُيوتُهُمُ,3,
مِنَ الرِماحِ وَفي المَعروفِ تَنكيرُ,3,
إِذ يَشزِرونَ إِلَيَّ الظَرفَ عَن عُرُضٍ,3,
كَأَنَّ أَعيُنَهُم مِن بُغضِهِم عورُ,3,
نَكَّبتُها مائَهُم لَمّا رَأَيتَهُمُ,3,
صُهبَ السِبالِ بِأَيديهِم بَيازيرُ,3,
مُخَلَّفونَ وَيَقضي الناسُ أَمرَهُمُ,3,
غُسُّ الأَمانَةِ صُنبورٌ فَصُنبورُ,3,
لَولا الهُمامُ الَّذي تُرجى نَوافِلُهُ,3,
لَنالَهُم جَحفَلٌ تَشقى بِهِ العورُ,3,
لَولا الهُمامُ لَقَد خَفَّت نَعامَتُهُم,3,
وَقالَ راكِبُهُم في عُصبَةٍ سيروا,3,
يُعلونَ بِالقَلَعِ البُصرِيِّ هامَهُمُ,3,
وَيُخرِجُ الفَسوَ مِن تَحتُ الدَقاريرُ,3,
تَناهَقونَ إِذا اِخضَرَّت نِعالُكُمُ,3,
وَفي الحَفيظَةِ أَبرامٌ مَضاجيرُ,3,
أَجلَت مُرَمَّأَةُ الأَخبارِ إِذ وَلَدَت,3,
عَن يَومِ سَوءٍ لِعَبدِ القَيسِ مَذكورُ,3,
إِنَّ الرَحيلَ إِلى قَومٍ وَإِن بَعُدوا,3,
أَمسَوا وَمِن دونِهِم ثَهلانُ فَالنيرُ,3,
تُلقى الأَوَزّونَ في أَكنافِ دارَتِها,3,
تَمشي وَبَينَ يَدَيها التِبنُ مَنثورُ,3,
عَينيَّ لا بُدَّ مِن سَكبٍ وَتَهمالِ,3,
عَلى فَضالَةَ جَلِّ الرِزءِ وَالعالي,3,
جُمّا عَلَيهِ بِماءِ الشَأنِ وَاِحتَفِلا,3,
لَيسَ الفُقودُ وَلا الهَلكى بِأَمثالِ,3,
أَمّا حَصانُ فَلَم تُحجَب بِكِلَّتِها,3,
قَد طُفتُ في كُلِّ هَذا الناسِ أَحوالي,3,
عَلى اِمرِئٍ سوقَةٍ مِمَّن سَمِعتُ بِهِ,3,
أَندى وَأَكمَلَ مِنهُ أَيَّ إِكمالِ,3,
أَوهَبَ مِنهُ لِذي أَثرٍ وَسابِغَةٍ,3,
وَقَينَةٍ عِندَ شَربٍ ذاتِ أَشكالِ,3,
وَخارِجِيٍّ يَزُمُّ الأَلفَ مُعتَرِضاً,3,
وَهَونَةٍ ذاتِ شِمراخٍ وَأَحجالِ,3,
أَبا دُلَيجَةَ مَن يوصى بِأَرمَلَةٍ,3,
أَم مَن لِأَشعَثَ ذي طِمرَينِ طِملالِ,3,
أَم مَن يَكونُ خَطيبَ القَومِ إِن حَفَلوا,3,
لَدى مُلوكٍ أُلي كَيدٍ وَأَقوالِ,3,
أَم مَن لِقَومٍ أَضاعوا بَعضَ أَمرِهِمِ,3,
بَينَ القُسوطِ وَبَينَ الدينِ دَلدالِ,3,
خافوا الأَصيلَةَ وَاِعتَلَّت مُلوكُهُمُ,3,
وَحُمِّلوا مِن أَذى غُرمٍ بِأَثقالِ,3,
فَرَّجتَ غَمَّهُمُ وَكُنتَ غَيثَهُمُ,3,
حَتّى اِستَقَرَّت نَواهُم بَعدَ تَزوالِ,3,
أَبا دُلَيجَةَ مَن يَكفي العَشيرَةَ إِذ,3,
أَمسَوا مِنَ الأَمرِ في لَبسٍ وَبَلبالِ,3,
أَم مَن لِأَهلِ لَوِيٍّ في مُسَكَّعَةٍ,3,
في أَمرِهِم خالَطوا حَقّاً بِإِبطالِ,3,
أَم مَن لِعادِيَةٍ تُردي مُلَملَمَةٍ,3,
كَأَنَّها عارِضٌ مِن هَضبِ أَوعالِ,3,
لَمّا رَأَوكَ عَلى نَهدٍ مَراكِلُهُ,3,
يَسعى بِبَزِّ كَمِيٍّ غَيرِ مِعزالِ,3,
وَفارِسٍ لا يَحُلُّ الحَيُّ عُدوَتَهُ,3,
وَلَّوا سِراعاً وَما هَمّوا بِإِقبالِ,3,
وَما خَليجٌ مِنَ المَرّوتِ ذو حَدَبٍ,3,
يَرمي الضَريرَ بِخُشبِ الطَلحِ وَالضالِ,3,
يَوماً بِأَجوَدَ مِنهُ حينَ تَسأَلُهُ,3,
وَلا مُغِبٌّ بِتَرجٍ بَينَ أَشبالِ,3,
لَيثٌ عَلَيهِ مِنَ البَردِيِّ هِبرِيَةٌ,3,
كَالمَرزَبانِيِّ عَيّالٌ بِآصالِ,3,
يَوماً بِأَجرَأَ مِنهُ حَدَّ بادِرَةٍ,3,
عَلى كَمِيٍّ بِمَهوِ الحَدِّ قَصّالِ,3,
لا زالَ مِسكٌ وَرَيحانٌ لَهُ أَرَجٌ,3,
عَلى صَداكَ بِصافي اللَونِ سَلسالِ,3,
يَسقي صَداكَ وَمُمساهُ وَمُصبَحَهُ,3,
رِفهاً وَرَمسُكَ مَحفوفٌ بِأَظلالِ,3,
وَرَّثتَني وُدَّ أَقوامٍ وَخُلَّتَهُم,3,
وَذَكرَةٌ مِنكَ تَغشاني بِإِجلالِ,3,
فَلَن يَزالَ ثَنائي غَيرَ ما كَذِبٍ,3,
قَولَ اِمرِئٍ غَيرَ ناسيهِ وَلا سالي,3,
لَعَمرُ ما قَدَرٍ أَجدى بِمَصرَعِهِ,3,
لَقَد أَخَلَّ بِعَرشي أَيَّ إِخلالِ,3,
قَد كانَتِ النَفسُ لَو ساموا الفِداءَ بِهِ,3,
إِلَيكَ مُسمِحَةٍ بِالأَهلِ وَالمالِ,3,
ما بالرزايا وما بالنأيِ من باسِ,3,
إذا صفا لك ما تهوى من الناس,3,
وطابَ عيشك في أمن وفي دعَةٍ,3,
ودير بينك والخلّان بالكأس,3,
ولم يحل دون ما يمّمت داهيَةٌ,3,
متى تجاوزُها من شدّة الباس,3,
وقد قضى اللّه في صنعا بأقضية,3,
يقضي العجائب منها كلّ مكياس,3,
جاءت بكيل فحطّت في جوانبها,3,
واستوثقَت في نواحيها بحرّاس,3,
وقطعت سبل الساعين واتخذت,3,
من بغيها كل جبّاء ومكّاس,3,
ظلما وبغيا وعدوانا بلا سبب,3,
رماهمُ اللّه بالضراء والباس,3,
وزاد ما بهم غيظا لغيظهم,3,
وصولنا لجناب منك ميّاس,3,
نتلو الحنيفيّة السمحا إلى جهة,3,
قد أطلعَ الدهرُ فيها كلّ أنحاس,3,
وفد الإمام الذي خاضت صواعقُهُ,3,
صدورَ كلّ شريف كابن عبّاس,3,
سعد السعود سعود المرتضى فلك ال,3,
عليا إلى فلكٍ من غير إمراس,3,
صعب البديهة لا تكبو قوادحهُ,3,
عند الخطاب ولا يعنى بوسواس,3,
ضخم الدسيعة قد عمّت فواضلهُ,3,
شرقا وغرباً وأغنَت كلّ مفلاس,3,
ما البحر والقطر إلّا من فضائلِه,3,
قد كوّنا وهو بحرٌ غير مقياس,3,
كالشمس عمّ ضياه كلّ ناحيةٍ,3,
من البلاد مقيما غير خنّاس,3,
ترى العفاة بأرجا داره حلقا,3,
من كلّ قطر حداهم قاتمُ الباس,3,
فيرحلون بمنّ لا أذاء به,3,
من الرغائب في أمن وإيناس,3,
ما بالغضنفر من بأس كنجدته,3,
يوم الهياج أبيّ غير مشماس,3,
أعدا الزمان على أبنائه حربا,3,
وقادهم بصفا قلب وإحساس,3,
ذلت أكاسرة الدنيا لهيبته,3,
وأقبلت نحوه سعيا على الراس,3,
جاء الجمالُ عليّ طالبا ثقةً,3,
فأسعدوه بأمن غير متعاس,3,
فيه السلامة والإنعام للضعفا,3,
وللرعايا وللمنصور ذي البأس,3,
الهاشميّ أبي الأملاك من شهدت,3,
كل الأنام بعدل منه في الناس,3,
الفاطميّ كريم المحتدى نسبا,3,
أطاعه كل قوّاد وسوّاس,3,
من كان في يمن الدنيا له رهج,3,
ودولةٌ تستذل الصعب بالقاسي,3,
ما ساد أبناء صنعا مثله ملك,3,
ولا تلى خبرٌ عنه بقرطاس,3,
يعطي الرغائبَ من قبل السؤال له,3,
ويستفيد ثناء الناس بالياس,3,
علّ الإمام يرى أحوالنا فإذا,3,
يثني العنان فيهدي طيب أنفاس,3,
فإنّنا في شبام بئس منزلةً,3,
كنا بها حلف إبلاس وإفلاس,3,
لا نستطيع خروجا من دويرتنا,3,
كأنما نحن في مسجان حبّاس,3,
لا نستضيء بنور نستريح به,3,
ولا تروحّنا ريح بنسناس,3,
فعل مضارع لا سين تنفسُه,3,
ولا يسوّف من سوف بإبلاس,3,
فيرسل الجند تحمينا وتمنعُنا,3,
من شرّ كلّ عدُوّ فاجرٍ قاسي,3,
ثم الصلاة على المختار سيّدنا,3,
ما حنّ رعدٌ بترحابٍ وإبجاس,3,
إنّي أَتَتني لِسانٌ مَا أُسَرُّ بها,3,
من عُلوَ لا عَجَبق فِيهَا ولا سَخَرُ,3,
جَاءَتْ مُرَجِّمَةً قَدْ كُنْتُ أَحْذَرُها,3,
لو كانَ يَنْفَعُني الإِشْفَاقُ والحَذَرُ,3,
تَأْتِي على النّاسِ لا تُلوي على أَحَدٍ,3,
حتى أَتَتْنَا وَكَانَتْ دُونَنَا مُضَرُ,3,
إذا يُعَادُ لها ذِكْرٌ أُكَذِّبُهُ,3,
حتى أتَتْني بِهَا الأنْبَاءُ وَالخَبَرُ,3,
فَبِتُّ مُكْتَئِباً حَيْرَانَ أَنْدُبُهُ,3,
وَلَسْتُ أَدْفَعُ ما يَأْتِي بِهِ القدَرُ,3,
فَجَاشَتِ النّفْسُ لَمّا جَاءَ جَمْعُهُمُ,3,
وَرَاكبٌ جَاءَ مِنْ تَثْلِيثَ مُعْتَمِرُ,3,
إنَّ الذي جِئْتَ مْنْ تَثْلِيثَ تَنْدُبُهُ,3,
مِنْهُ السّمَاحُ وَمِنْهُ الجودُ وَالغِيَرُ,3,
تَنَعَى امرأً لاَ تَغُبَّ الحيَّ جَفْنَتُهُ,3,
إذا الكَوَاكِبُ خَوّى نَوْأَها المَطَرُ,3,
وَرَاحَتِ الشَّوْلُ مُغْبَرّاً مَنَاكِبُها,3,
شُعْثاً تَغَيّرَ مِنْهَا النَّيُّ وَالوَبَرُ,3,
وَأَجْحَرَ الكَلْبَ مُبْيَضُّ الصَّقِيعِ بِهِ,3,
وَضَمّت الحيَّ مِنْ صُرّادِهِ الحُجَرُ,3,
عَلَيْهِ أَوّلُ زَادِ القَوْمِ قَدْ عَلِموا,3,
ثُمَّ المَطيَّ إذا ما أَرْمَلوا جَزَرُوا,3,
لا تَأْمَنُ البازلُ الكوماءُ ضَرْبَتَهُ,3,
بِالمَشْرَفيّ إذا ما اخْرَوّطَ السّفَرُ,3,
قَدْ تَكْظِمُ البُزْلُ مِنْهُ حِينَ يَفْجؤها,3,
حَتّى تَقَطَّعَ في أَعْنَاقِها الجِرَرُ,3,
أَخُو رَغَائِبَ يُعْطِيهَا وَيَسْأَلُها,3,
يَخْشَى الظُّلامَةَ مِنْهُ النَّوْفَلُ الزَّفَرُ,3,
مَنْ لَيْسَ في خَيْرِهِ مَنٌّ يُكَدّرُهُ,3,
عَلَى الصَّدِيقِ وَلاَ في صَفْوِهِ كَدَرُ,3,
يَمْشي بِبَيْدَاءَ لا يَمْشي بِهَا أَحَدٌ,3,
وَلاَ يُحَسُّ خَلاَ الخافي بِهَا أَثَرُ,3,
كَأَنّهُ بَعْدَ صِدْقِ القَوْمِ أَنْفُسَهم,3,
بِالبأسِ يَلْمَعُ مِنْ أَقْدَامِهِ الشّرَرُ,3,
وَلَيْسَ فِيهِ إذا اسْتَنْظَرْتَهُ عَجَلٌ,3,
وَلَيْسَ فيهِ إذا ياسَرْتَهُ عُسُرُ,3,
إمّا يُصِبْهُ عَدوٌّ في مُنَاوَأةٍ,3,
يَوْماً فَقَدْ كَانَ يَسْتَعلي وَيَنْتَصِرُ,3,
أَخُو حُروبٍ وَمِكْسَابٌ إذا عَدَمُوا,3,
وفي المَخَافَةِ مِنْهُ الجِدُّ والحَذَرُ,3,
مِردَى حُروبٍ شِهابٌ يُسْتَضَاءُ بِهِ,3,
كَمَا أَضَاءَ سَوَادَ الصَّخْيَةِ القَمَرُ,3,
مُهَفْهَفٌ أَهْضَمُ الكَشْحَينِ مُنْخَرِقٌ,3,
عَنْهُ القَمِيصُ لِسَيْرِ اللّيْلِ مُحْتَقِرُ,3,
ضَخْمُ الدّسِيعَةِ متلافٌ أَخُو ثِقةٍ,3,
حَامِي الحَقِيقةِ مِنْهُ الجُودُ والفَخَرُ,3,
طاوي المَصِيرِ على العَزّاءِ مُنْجَرِدٌ,3,
بِالقَوْمِ لَيْلَةَ لا ماءٌ ولا شَجَرُ,3,
لاَ يَتَأرّى لِمَأ في القِدْرِ يَرْقبُهُ,3,
ولا يَعَضّ على شُرسُوفِهِ الصَّفَرُ,3,
تَكْفِيهِ فِلْذَةُ لَحْمٍ إنْ أَلمّ بِهَا,3,
مِنَ الشِّواءِ وَيَروي شُرْبَهُ الغَمَرُ,3,
لاَ يَأْمَن النّاسُ مُمْسَاهُ وَمُصْبَحَهُ,3,
في كلّ فَجٍ وإنْ لَمْ يَغزُ يُنْتَظَرُ,3,
المُعَجّلُ القَوْمِ أَنْ تَغلي مَرَاجِلُهُمْ,3,
قَبْلَ الصَّبَاحِ وَلَمّا يُمْسَحِ البَصَرُ,3,
لاَ يَغْمِزُ السّاقَ مِنْ أَيْنٍ ولا نَصَبٍ,3,
وَلاَ يَزَالُ أَمَامَ القَوْمِ يَغْتَفِرُ,3,
عِشْنَا بِهِ بُرْهَةً دَهْراً فَوَدّعَنا,3,
كَذَلِكَ الرِّمْحُ ذُو النّصْلَيْنِ يَنْكَسِرُ,3,
فَنِعْمَ مَا أَنْتَ عِنْدَ الخَيْرِ تَسْأَلُهُ,3,
وَنِعْمَ مَا أَنْتَ عِنْدَ البأسِ تَحْتَضِرُ,3,
أَصَبْتَ في حُرُمٍ مِنّا أَخَأ ثِقَةٍ,3,
هِنْدَ بْنَ سَلْمَى فَلاَ يَهْنَا لَكَ الظَّفَرُ,3,
فإنْ جَزَعْنَا فإنّ الشّرّ أَجْزَعَنَا,3,
وَإنْ صَبَرْنَا فَإنَّا مَعْشَرٌ صُبُرُ,3,
لَوْ لَمْ يخُنْهُ نَفِيلٌ لاسْتَمَرّ بِهِ,3,
وِردٌ يُلِمَ بِهَذَا النّاسِ أَوْ صَدَرُ,3,
إنْ تَقْتُلُوهُ فَقَدْ تُسْبَى نِسَاؤُكُمُ,3,
وَقَدْ تَكُونُ لَهُ المُعْلاَةُ وَالخَطَرُ,3,
فإنْ سَلَكْتَ سَبيلاً كُنْتَ سَالِكَها,3,
فَاذْهَبْ فَلاَ يُبْعِدَنْكَ اللَّهُ مُنْتَشِرُ,3,
بَلِّغ حُبَيباً وَخَلِّل في صَراتِهِمِ,3,
إِنَّ الفُؤادَ اِنطَوى مِنهُم عَلى حَزَنِ,3,
قَد كُنتُ أَسبِقُ مَن جارَوا عَلى مَهلٍ,3,
مِن وُلدِ آدَمَ ما لَم يَخلَعوا رَسَني,3,
قالوا عَلَيَّ وَلَم أَملِك فَيالَيتَهُم,3,
حَتّى اِنتَحَيتُ عَلى الأَرساغِ وَالثُنَنِ,3,
لَو أَنَّني كُنتُ مِن عادٍ وَمِن إِرَمٍ,3,
رَبيتُ فيهِم وَمِن لُقمانَ أَو جَدَنِ,3,
لَمّا فَدوا بِأَخيهِم مِن مُهَوَّلَةٍ,3,
اَخا السُكونِ وَلا جاروا عَنِ السَنَنِ,3,
سَأَلتُ قَومي وَقَد سَدَّت أَباعِرُهُم,3,
ما بَينَ رَحبَةَ ذاتِ العيصِ فَالعَدَنِ,3,
إِذا قَرَّبوا لِاِبنِ سَوّارٍ أَباعِرَهُم,3,
لِلَهِ دَرُّ عَطاءٍ كانَ ذا غَبَنِ,3,
أَنّى جَزَوا عامِراً سُؤى بِفِعلِهِم,3,
أَم كَيفَ يَجزونَني السُؤى مِنَ الحَسَنِ,3,
أَم كَيفَ يَنفَعُ ما تُعطي العَلوقَ بِهِ,3,
رِئمانَ أَنفٍ إِذا ما ضُنَّ بِاللَبَنِ,3,
فينا مَعاشِرُ لَم يَبنوا لِقِومِهِمُ,3,
وَإِنَّ بَني قَومِهِم ما أَفسَدوا عادوا,3,
لا يَرشُدون وَلَن يَرعوا لِمُرشِدِهم,3,
فَالغَيُّ مِنهُم مَعاً وَالجَهلُ ميعادُ,3,
كَانوا كَمِثلِ لُقَيمٍ في عَشيرَتِهِ,3,
إذ أُهلِكَت بِالَّذي قَد قَدَّمَت عادُ,3,
أَو بَعدَه كِقُدارٍ حينَ تابَعَهُ,3,
عَلى الغِوايَةِ أَقوامٌ فَقَد بادوا,3,
وَالبَيتُ لا يُبتَنى إِلّا لَهُ عَمَدٌ,3,
وَلا عِمادَ إِذا لَم تُرسَ أَوتادُ,3,
فَإِن تَجَمَّعَ أَوتادٌ وَأَعمِدَةٌ,3,
وَساكِنٌ بَلَغوا الأَمرَ الَّذي كادوا,3,
وَإِن تَجَمَّعَ أَقوامٌ ذَوو حَسَبٍ,3,
اِصطادَ أَمرَهُمُ بِالرُشدِ مُصطادُ,3,
لا يَصلُحُ الناسُ فَوضى لا سَراةَ لَهُم,3,
وَلا سَراةَ إِذا جُهّالُهُم سادوا,3,
تُلفى الأُمورُ بِأَهلِ الرُشدِ ما صَلَحَت,3,
فَإِن تَوَلَّوا فَبِالأَشرارِ تَنقادُ,3,
إِذا تَوَلّى سَراةُ القَومِ أَمرَهُمُ,3,
نَما عَلى ذاك أَمرُ القَومِ فَاِزدادوا,3,
أَمارَةُ الغَيِّ أَن تَلقى الجَميعَ لَدى ال,3,
إِبرامِ لِلأَمرِ وَالأَذنابُ أَكتادُ,3,
كَيفَ الرَشادُ إِذا ما كُنتَ في نَفَرٍ,3,
لَهُم عَنِ الرُشدِ أَغلالٌ وَأَقيادُ,3,
أَعطَوا غُواتَهَمُ جَهلاً مَقادَتَهُم,3,
فَكُلُّهُم في حِبالِ الغَيِّ مُنقادُ,3,
حانَ الرَحيلُ إِلى قَومٍ وَإِن بَعُدوا,3,
فيهِم صَلاحٌ لِمُرتادٍ وَإِرشادُ,3,
